MsgID.STATE,1522203210.5066199,True,True
MsgID.GLOBAL_HOME,1522203210.5072041,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203210.5463223,-122.3972839,37.7924344,9.4330000
MsgID.LOCAL_VELOCITY,1522203210.5463223,1.3900000,4.4500000,2.1300000
MsgID.LOCAL_POSITION,1522203210.5467138,-5.1139436,15.0631943,-9.4314356
MsgID.LOCAL_VELOCITY,1522203210.5467138,1.4028549,4.4502964,2.1310019
MsgID.GLOBAL_POSITION,1522203210.7690279,-122.3972729,37.7924384,8.9680000
MsgID.LOCAL_VELOCITY,1522203210.7690279,2.3800000,4.4200000,2.1400000
MsgID.LOCAL_POSITION,1522203210.7699385,-4.6663141,16.0391560,-8.9643507
MsgID.LOCAL_VELOCITY,1522203210.7699385,2.3980651,4.4271736,2.1419339
MsgID.GLOBAL_POSITION,1522203211.0189593,-122.3972589,37.7924447,8.4030000
MsgID.LOCAL_VELOCITY,1522203211.0189593,3.4200000,4.4100000,2.2400000
MsgID.LOCAL_POSITION,1522203211.0194881,-3.9643393,17.2736359,-8.4034176
MsgID.LOCAL_VELOCITY,1522203211.0194881,3.4255562,4.4176984,2.2497363
MsgID.GLOBAL_POSITION,1522203211.2680511,-122.3972449,37.7924528,7.8190000
MsgID.LOCAL_VELOCITY,1522203211.2680511,4.5200000,4.4900000,2.1100000
MsgID.LOCAL_POSITION,1522203211.2702582,-3.0711434,18.5227757,-7.8192167
MsgID.LOCAL_VELOCITY,1522203211.2702582,4.5224924,4.4924746,2.1106606
MsgID.STATE,1522203211.5060599,True,True
MsgID.GLOBAL_HOME,1522203211.5082273,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203211.5464456,-122.3972333,37.7924641,7.3030000
MsgID.LOCAL_VELOCITY,1522203211.5464456,5.3800000,4.5700000,2.0900000
MsgID.LOCAL_POSITION,1522203211.5469577,-1.8058771,19.5611076,-7.3006711
MsgID.LOCAL_VELOCITY,1522203211.5469577,5.3885918,4.5782537,2.0907204
MsgID.GLOBAL_POSITION,1522203211.7701776,-122.3972215,37.7924777,6.7990000
MsgID.LOCAL_VELOCITY,1522203211.7701776,6.1600000,4.7000000,2.0700000
MsgID.LOCAL_POSITION,1522203211.7709680,-0.2939180,20.6038799,-6.7968669
MsgID.LOCAL_VELOCITY,1522203211.7709680,6.1647468,4.7094045,2.0807705
MsgID.GLOBAL_POSITION,1522203212.0190012,-122.3972098,37.7924943,6.2110000
MsgID.LOCAL_VELOCITY,1522203212.0190012,6.8200000,4.8400000,2.1300000
MsgID.LOCAL_POSITION,1522203212.0212252,1.5419439,21.6386757,-6.2115636
MsgID.LOCAL_VELOCITY,1522203212.0212252,6.8277855,4.8472762,2.1386433
MsgID.GLOBAL_POSITION,1522203212.2690148,-122.3971959,37.7925093,5.6420000
MsgID.LOCAL_VELOCITY,1522203212.2690148,7.0900000,4.9100000,2.1700000
MsgID.LOCAL_POSITION,1522203212.2711389,3.2195220,22.8824844,-5.6378813
MsgID.LOCAL_VELOCITY,1522203212.2711389,7.0999408,4.9128914,2.1748435
MsgID.STATE,1522203212.5063767,True,True
MsgID.GLOBAL_HOME,1522203212.5085664,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203212.5463324,-122.3971823,37.7925234,5.1340000
MsgID.LOCAL_VELOCITY,1522203212.5463324,7.1900000,4.9300000,2.1300000
MsgID.LOCAL_POSITION,1522203212.5466974,4.7957001,24.0949326,-5.1303730
MsgID.LOCAL_VELOCITY,1522203212.5466974,7.2004519,4.9363780,2.1350842
MsgID.GLOBAL_POSITION,1522203212.7697711,-122.3971674,37.7925402,4.5840000
MsgID.LOCAL_VELOCITY,1522203212.7697711,7.2400000,4.9200000,2.1900000
MsgID.LOCAL_POSITION,1522203212.7702215,6.6490912,25.4136562,-4.5811219
MsgID.LOCAL_VELOCITY,1522203212.7702215,7.2495174,4.9276385,2.1954954
MsgID.GLOBAL_POSITION,1522203213.0226068,-122.3971530,37.7925573,4.0200000
MsgID.LOCAL_VELOCITY,1522203213.0226068,7.3100000,4.9300000,2.0900000
MsgID.LOCAL_POSITION,1522203213.0229924,8.5379725,26.6876774,-4.0202456
MsgID.LOCAL_VELOCITY,1522203213.0229924,7.3100224,4.9382696,2.0986295
MsgID.GLOBAL_POSITION,1522203213.2690887,-122.3971387,37.7925750,3.7670000
MsgID.LOCAL_VELOCITY,1522203213.2690887,7.7300000,5.1800000,-0.1200000
MsgID.LOCAL_POSITION,1522203213.2735426,10.5106697,27.9572296,-3.7671492
MsgID.LOCAL_VELOCITY,1522203213.2735426,7.7351418,5.1818171,-0.1291917
MsgID.STATE,1522203213.5077083,True,True
MsgID.GLOBAL_HOME,1522203213.5082381,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203213.5202157,-122.3971262,37.7925915,3.9600000
MsgID.LOCAL_VELOCITY,1522203213.5202157,7.6800000,5.1500000,-1.0300000
MsgID.LOCAL_POSITION,1522203213.5584087,12.4037104,29.1122570,-3.9675877
MsgID.LOCAL_VELOCITY,1522203213.5584087,7.6762996,5.1502819,-1.0189971
MsgID.GLOBAL_POSITION,1522203213.7695425,-122.3971118,37.7926079,4.0540000
MsgID.LOCAL_VELOCITY,1522203213.7695425,7.3500000,4.9500000,0.1900000
MsgID.LOCAL_POSITION,1522203213.7736185,14.2019024,30.3839493,-4.0527787
MsgID.LOCAL_VELOCITY,1522203213.7736185,7.3549294,4.9520187,0.2080493
MsgID.GLOBAL_POSITION,1522203214.0204103,-122.3970976,37.7926244,3.9660000
MsgID.LOCAL_VELOCITY,1522203214.0204103,7.3600000,4.9500000,0.1600000
MsgID.LOCAL_POSITION,1522203214.0249584,16.0015392,31.6183491,-3.9668975
MsgID.LOCAL_VELOCITY,1522203214.0249584,7.3671284,4.9584427,0.1629679
MsgID.GLOBAL_POSITION,1522203214.2709394,-122.3970803,37.7926422,3.9620000
MsgID.LOCAL_VELOCITY,1522203214.2709394,7.4500000,5.0000000,-0.2300000
MsgID.LOCAL_POSITION,1522203214.2752032,17.9737625,33.1543884,-3.9621966
